30,580,67,580,67,597,30,597,0.76
0,0,0,0,0,0,0,0,0.00
270,564,317,567,316,583,269,581,0.80
245,565,271,565,271,581,245,581,0.73
0,0,0,0,0,0,0,0,0.00
0,0,0,0,0,0,0,0,0.00
314,567,343,563,345,579,317,583,0.75
342,563,380,560,381,577,344,580,0.82
157,560,208,563,207,579,156,577,0.79
380,561,399,561,399,576,380,576,0.74
134,561,157,561,157,577,134,577,0.73
110,560,135,560,135,577,110,577,0.77
67,559,110,561,109,577,66,575,0.77
0,0,0,0,0,0,0,0,0.00
249,549,277,549,277,561,249,561,0.82
277,546,304,546,304,562,277,562,0.80
304,544,335,543,336,561,305,563,0.83
214,544,248,543,249,560,214,562,0.84
336,545,356,545,356,559,336,559,0.72
184,543,214,544,213,560,183,559,0.82
377,541,400,541,400,558,377,558,0.81
354,544,376,540,380,556,357,561,0.75
159,541,183,541,183,558,159,558,0.81
88,541,127,541,127,556,88,556,0.83
128,538,160,542,158,560,126,556,0.80
56,540,87,540,87,555,56,555,0.83
0,0,0,0,0,0,0,0,0.00
66,516,93,516,93,532,66,532,0.80
40,515,67,515,67,533,40,533,0.77
0,0,0,0,0,0,0,0,0.00
299,505,329,504,329,519,300,520,0.78
273,503,300,503,300,519,273,519,0.79
215,502,246,504,245,519,214,517,0.73
0,0,0,0,0,0,0,0,0.00
245,503,272,503,272,519,245,519,0.76
0,0,0,0,0,0,0,0,0.00
0,0,0,0,0,0,0,0,0.00
0,0,0,0,0,0,0,0,0.00
0,0,0,0,0,0,0,0,0.00
130,498,156,500,155,515,129,513,0.72
106,500,129,500,129,514,106,514,0.78
43,497,89,499,88,516,42,513,0.80
371,497,403,498,401,519,370,517,0.81
279,486,300,486,300,500,279,500,0.76
299,485,332,484,333,499,300,501,0.80
246,484,279,484,279,500,246,500,0.82
219,483,247,485,246,500,218,498,0.80
193,482,220,484,218,500,192,497,0.82
332,484,370,481,371,498,334,501,0.83
0,0,0,0,0,0,0,0,0.00
143,482,174,482,174,497,143,497,0.79
124,482,143,482,143,496,124,496,0.78
369,481,400,480,401,497,370,498,0.81
99,480,126,482,125,497,98,495,0.80
73,479,99,479,99,495,73,495,0.79
76,459,109,457,110,472,77,474,0.80
46,458,78,458,78,473,46,473,0.73
334,444,362,444,362,459,334,459,0.79
